Tag;Stunde;AVG_TA200
01.12.2022;00:00;6,05
01.12.2022;01:00;5,85
01.12.2022;02:00;5,78
01.12.2022;03:00;5,15
01.12.2022;04:00;4,42
01.12.2022;05:00;4,10
01.12.2022;06:00;3,80
01.12.2022;07:00;3,79
01.12.2022;08:00;3,79
01.12.2022;09:00;3,79
01.12.2022;10:00;3,91
01.12.2022;11:00;4,31
01.12.2022;12:00;4,28
01.12.2022;13:00;4,23
01.12.2022;14:00;4,37
01.12.2022;15:00;3,99
01.12.2022;16:00;3,65
01.12.2022;17:00;3,45
01.12.2022;18:00;3,27
01.12.2022;19:00;3,20
01.12.2022;20:00;3,09
01.12.2022;21:00;3,07
01.12.2022;22:00;3,04
01.12.2022;23:00;3,03
02.12.2022;00:00;3,02
02.12.2022;01:00;3,04
02.12.2022;02:00;2,92
02.12.2022;03:00;2,92
02.12.2022;04:00;2,90
02.12.2022;05:00;2,90
02.12.2022;06:00;3,00
02.12.2022;07:00;3,08
02.12.2022;08:00;3,12
02.12.2022;09:00;3,13
02.12.2022;10:00;3,24
02.12.2022;11:00;3,48
02.12.2022;12:00;3,53
02.12.2022;13:00;3,57
02.12.2022;14:00;3,92
02.12.2022;15:00;4,11
02.12.2022;16:00;4,14
02.12.2022;17:00;3,79
02.12.2022;18:00;3,69
02.12.2022;19:00;3,59
02.12.2022;20:00;3,61
02.12.2022;21:00;3,68
02.12.2022;22:00;3,56
02.12.2022;23:00;3,42
03.12.2022;00:00;2,38
03.12.2022;01:00;1,58
03.12.2022;02:00;1,38
03.12.2022;03:00;,83
03.12.2022;04:00;,97
03.12.2022;05:00;,90
03.12.2022;06:00;1,05
03.12.2022;07:00;,75
03.12.2022;08:00;,59
03.12.2022;09:00;,73
03.12.2022;10:00;1,50
03.12.2022;11:00;1,77
03.12.2022;12:00;1,93
03.12.2022;13:00;1,95
03.12.2022;14:00;2,07
03.12.2022;15:00;2,33
03.12.2022;16:00;2,55
03.12.2022;17:00;2,62
03.12.2022;18:00;2,51
03.12.2022;19:00;2,42
03.12.2022;20:00;2,40
03.12.2022;21:00;2,15
03.12.2022;22:00;1,45
03.12.2022;23:00;1,01
04.12.2022;00:00;1,08
04.12.2022;01:00;1,10
04.12.2022;02:00;1,16
04.12.2022;03:00;1,35
04.12.2022;04:00;1,44
04.12.2022;05:00;1,34
04.12.2022;06:00;1,21
04.12.2022;07:00;,97
04.12.2022;08:00;1,16
04.12.2022;09:00;1,52
04.12.2022;10:00;1,64
04.12.2022;11:00;1,81
04.12.2022;12:00;1,75
04.12.2022;13:00;1,76
04.12.2022;14:00;1,87
04.12.2022;15:00;1,95
04.12.2022;16:00;1,89
04.12.2022;17:00;1,90
04.12.2022;18:00;1,91
04.12.2022;19:00;1,99
04.12.2022;20:00;2,06
04.12.2022;21:00;2,16
04.12.2022;22:00;2,33
04.12.2022;23:00;2,20
05.12.2022;00:00;2,30
05.12.2022;01:00;2,39
05.12.2022;02:00;2,40
05.12.2022;03:00;2,61
05.12.2022;04:00;3,08
05.12.2022;05:00;4,43
05.12.2022;06:00;4,78
05.12.2022;07:00;4,76
05.12.2022;08:00;4,64
05.12.2022;09:00;5,37
05.12.2022;10:00;5,86
05.12.2022;11:00;6,34
05.12.2022;12:00;6,57
05.12.2022;13:00;6,46
05.12.2022;14:00;6,32
05.12.2022;15:00;6,63
05.12.2022;16:00;5,99
05.12.2022;17:00;5,54
05.12.2022;18:00;4,94
05.12.2022;19:00;4,71
05.12.2022;20:00;4,11
05.12.2022;21:00;3,81
05.12.2022;22:00;3,57
05.12.2022;23:00;3,04
06.12.2022;00:00;2,58
06.12.2022;01:00;1,45
06.12.2022;02:00;,95
06.12.2022;03:00;1,21
06.12.2022;04:00;1,40
06.12.2022;05:00;1,55
06.12.2022;06:00;1,83
06.12.2022;07:00;1,85
06.12.2022;08:00;2,00
06.12.2022;09:00;2,61
06.12.2022;10:00;3,76
06.12.2022;11:00;5,31
06.12.2022;12:00;5,93
06.12.2022;13:00;5,78
06.12.2022;14:00;5,21
06.12.2022;15:00;5,00
06.12.2022;16:00;4,67
06.12.2022;17:00;3,87
06.12.2022;18:00;3,58
06.12.2022;19:00;3,55
06.12.2022;20:00;3,51
06.12.2022;21:00;3,36
06.12.2022;22:00;3,20
06.12.2022;23:00;3,02
07.12.2022;00:00;3,05
07.12.2022;01:00;3,09
07.12.2022;02:00;3,06
07.12.2022;03:00;3,06
07.12.2022;04:00;2,82
07.12.2022;05:00;2,59
07.12.2022;06:00;2,47
07.12.2022;07:00;1,90
07.12.2022;08:00;1,22
07.12.2022;09:00;1,04
07.12.2022;10:00;3,36
07.12.2022;11:00;4,35
07.12.2022;12:00;5,81
07.12.2022;13:00;6,35
07.12.2022;14:00;5,69
07.12.2022;15:00;5,77
07.12.2022;16:00;4,68
07.12.2022;17:00;3,12
07.12.2022;18:00;1,95
07.12.2022;19:00;1,24
07.12.2022;20:00;,41
07.12.2022;21:00;-,13
07.12.2022;22:00;-,29
07.12.2022;23:00;,53
08.12.2022;00:00;,73
08.12.2022;01:00;-,05
08.12.2022;02:00;-,71
08.12.2022;03:00;-1,50
