"date_time","th"
2022-12-01 00:00:00,NA
2022-12-01 01:00:00,5.865
2022-12-01 02:00:00,5.814
2022-12-01 03:00:00,5.336
2022-12-01 04:00:00,4.633
2022-12-01 05:00:00,4.408
2022-12-01 06:00:00,4.131
2022-12-01 07:00:00,4.079
2022-12-01 08:00:00,4.009
2022-12-01 09:00:00,4.131
2022-12-01 10:00:00,4.425
2022-12-01 11:00:00,4.356
2022-12-01 12:00:00,4.373
2022-12-01 13:00:00,4.443
2022-12-01 14:00:00,4.512
2022-12-01 15:00:00,4.165
2022-12-01 16:00:00,3.922
2022-12-01 17:00:00,3.696
2022-12-01 18:00:00,3.503
2022-12-01 19:00:00,3.346
2022-12-01 20:00:00,3.258
2022-12-01 21:00:00,3.223
2022-12-01 22:00:00,3.205
2022-12-01 23:00:00,3.135
2022-12-02 00:00:00,3.17
2022-12-02 01:00:00,3.17
2022-12-02 02:00:00,2.959
2022-12-02 03:00:00,2.976
2022-12-02 04:00:00,2.976
2022-12-02 05:00:00,2.976
2022-12-02 06:00:00,3.029
2022-12-02 07:00:00,3.1
2022-12-02 08:00:00,3.188
2022-12-02 09:00:00,3.24
2022-12-02 10:00:00,3.416
2022-12-02 11:00:00,3.608
2022-12-02 12:00:00,3.713
2022-12-02 13:00:00,3.748
2022-12-02 14:00:00,3.905
2022-12-02 15:00:00,4.131
2022-12-02 16:00:00,4.131
2022-12-02 17:00:00,3.94
2022-12-02 18:00:00,3.748
2022-12-02 19:00:00,3.591
2022-12-02 20:00:00,3.644
2022-12-02 21:00:00,3.608
2022-12-02 22:00:00,3.538
2022-12-02 23:00:00,3.503
2022-12-03 00:00:00,3.029
2022-12-03 01:00:00,2.339
2022-12-03 02:00:00,2.286
2022-12-03 03:00:00,1.731
2022-12-03 04:00:00,1.605
2022-12-03 05:00:00,1.857
2022-12-03 06:00:00,1.659
2022-12-03 07:00:00,1.695
2022-12-03 08:00:00,1.641
2022-12-03 09:00:00,1.461
2022-12-03 10:00:00,1.856
2022-12-03 11:00:00,1.964
2022-12-03 12:00:00,2.285
2022-12-03 13:00:00,2.428
2022-12-03 14:00:00,2.552
2022-12-03 15:00:00,2.694
2022-12-03 16:00:00,2.782
2022-12-03 17:00:00,2.8
2022-12-03 18:00:00,2.729
2022-12-03 19:00:00,2.676
2022-12-03 20:00:00,2.641
2022-12-03 21:00:00,2.356
2022-12-03 22:00:00,1.893
2022-12-03 23:00:00,1.298
2022-12-04 00:00:00,1.263
2022-12-04 01:00:00,1.154
2022-12-04 02:00:00,1.154
2022-12-04 03:00:00,1.317
2022-12-04 04:00:00,1.19
2022-12-04 05:00:00,1.281
2022-12-04 06:00:00,0.972
2022-12-04 07:00:00,0.881
2022-12-04 08:00:00,1.027
2022-12-04 09:00:00,1.371
2022-12-04 10:00:00,1.533
2022-12-04 11:00:00,1.892
2022-12-04 12:00:00,1.982
2022-12-04 13:00:00,1.946
2022-12-04 14:00:00,1.964
2022-12-04 15:00:00,2.018
2022-12-04 16:00:00,1.928
2022-12-04 17:00:00,1.928
2022-12-04 18:00:00,1.946
2022-12-04 19:00:00,2.036
2022-12-04 20:00:00,2.054
2022-12-04 21:00:00,2.214
2022-12-04 22:00:00,2.41
2022-12-04 23:00:00,2.321
2022-12-05 00:00:00,2.392
2022-12-05 01:00:00,2.463
2022-12-05 02:00:00,2.392
2022-12-05 03:00:00,2.623
2022-12-05 04:00:00,2.764
2022-12-05 05:00:00,4.06
2022-12-05 06:00:00,4.753
2022-12-05 07:00:00,4.77
2022-12-05 08:00:00,4.977
2022-12-05 09:00:00,5.251
2022-12-05 10:00:00,5.746
2022-12-05 11:00:00,6.474
2022-12-05 12:00:00,6.71
2022-12-05 13:00:00,6.576
2022-12-05 14:00:00,6.441
2022-12-05 15:00:00,6.828
2022-12-05 16:00:00,6.187
2022-12-05 17:00:00,5.729
2022-12-05 18:00:00,5.336
2022-12-05 19:00:00,5.029
2022-12-05 20:00:00,4.753
2022-12-05 21:00:00,4.165
2022-12-05 22:00:00,3.275
2022-12-05 23:00:00,2.764
2022-12-06 00:00:00,2.764
2022-12-06 01:00:00,2.071
2022-12-06 02:00:00,1.892
2022-12-06 03:00:00,2.071
2022-12-06 04:00:00,1.785
2022-12-06 05:00:00,2.071
2022-12-06 06:00:00,2.268
2022-12-06 07:00:00,2.357
2022-12-06 08:00:00,2.463
2022-12-06 09:00:00,2.8
2022-12-06 10:00:00,3.608
2022-12-06 11:00:00,4.77
2022-12-06 12:00:00,5.507
2022-12-06 13:00:00,5.984
2022-12-06 14:00:00,5.371
2022-12-06 15:00:00,5.097
2022-12-06 16:00:00,4.736
2022-12-06 17:00:00,4.044
2022-12-06 18:00:00,3.748
2022-12-06 19:00:00,3.678
2022-12-06 20:00:00,3.556
2022-12-06 21:00:00,3.364
2022-12-06 22:00:00,3.258
2022-12-06 23:00:00,3.1
2022-12-07 00:00:00,3.1
2022-12-07 01:00:00,3.152
2022-12-07 02:00:00,3.258
2022-12-07 03:00:00,3.205
2022-12-07 04:00:00,2.994
2022-12-07 05:00:00,2.976
2022-12-07 06:00:00,3.047
2022-12-07 07:00:00,2.552
2022-12-07 08:00:00,1.749
2022-12-07 09:00:00,1.695
2022-12-07 10:00:00,3.01
2022-12-07 11:00:00,4.304
2022-12-07 12:00:00,5.249
2022-12-07 13:00:00,5.933
2022-12-07 14:00:00,5.61
2022-12-07 15:00:00,5.319
2022-12-07 16:00:00,4.563
2022-12-07 17:00:00,3.433
2022-12-07 18:00:00,2.605
2022-12-07 19:00:00,2.427
2022-12-07 20:00:00,1.641
2022-12-07 21:00:00,1.262
2022-12-07 22:00:00,1.136
2022-12-07 23:00:00,1.407
2022-12-08 00:00:00,1.551
2022-12-08 01:00:00,0.699
2022-12-08 02:00:00,0.241
2022-12-08 03:00:00,-0.294
2022-12-08 04:00:00,-0.76
2022-12-08 05:00:00,-0.499
2022-12-08 06:00:00,-0.873
2022-12-08 07:00:00,-0.967
2022-12-08 08:00:00,-0.555
